Nr;Beschreibung;Stück;Länge;Breite;Dicke
1.1;Seiten ;2;2145;100;25
1.2;Oben/Unten ;2;745;100;25
1.3;Lamellen ;28.6;695;100;25
1.4,Dopplung Seiten ,2,2145,100,35
2.1;Seiten ;2;2310;100;25
2.2;Oben/Unten/Ersatz ;3;1285;100;25
2.3;Lamellen ;30.8;1235;100;25
3.1;Seiten ;2;2310;100;25
3.2;Oben/Unten ;2;1356;100;25
3.3;Lamellen ;30.8;1306;100;25
4.1;Seiten ;2;2310;100;25
4.2;Oben/Unten ;2;1356;100;25
4.3;Lamellen ;30.8;1306;100;25
5.1;Seiten ;2;2310;100;25
5.2;Oben/Unten ;2;1356;100;25
5.3;Lamellen ;30.8;1306;100;25
6.1;Seiten ;2;2310;100;25
6.2;Oben/Unten ;2;1356;100;25
6.3;Lamellen ;30.8;1306;100;25
7.1;Seiten ;2;2310;100;25
7.2;Oben/Unten ;2;1356;100;25
7.3;Lamellen ;30.8;1306;100;25
8.1;Stützpfosten ;1;2360;100;100
