Nr,Beschreibung,Stück,Länge,Breite,Höhe
1,Träger - Gehrung beidseitig,1,1020,40,40
2,Stützen - Gehrung einseitig / 22mm Bohrung für Spindel,2,700,40,40
3,Fuss Rechts Hinten - Stumpf,1,100,40,40
4,Fuss Rechts Vorne - Gehrung einseitig,1,140,40,40
6,Rahmen rechts - Gehrung beidseit / Gehrung einmal 90° gedreht für Fuss,1,700,40,40
7,Rahmen hinten - Gehrung einseitig,1,1060,40,40
8,Füsse Links - Gehrung einseitig,2,430,40,40
9,Füsse Mitte - Gehrung beidseitig,2,330,40,40
10,Querstreben lang - Gehrung beidseitig,3,700,40,40
11,Querstrebe kurz - Stumpf,1,620,40,40
12,Stege kurz - Stumpf,2,620,40,40
12,Aufnahmen Grillstangen / 15° schräg,4,40,20,20
