Pos;Bezeichnung;Typ;Anzahl;Breite;Höhe;Dicke;Länge;Link Debrunner;Gewicht per m';
1;Platte;Vierkantrohr;23.5714;40;20;3;800;https://shop.d-a.ch/de/rechteckrohre-stahl-s235jr-kaltgewalzt-s1-rohschwarz/p/M100647;2.5;47.1428
2;Aufnahme und Verbinder Platte;Winkel;4;30;30;3;1690;https://shop.d-a.ch/de/winkelstahl-stahl-s235jr-kaltgerollt-gleichschenklig/p/M100407;1.3;
3;Rahmen längs;Vierkantrohr;2;30;60;4;1760;https://shop.d-a.ch/de/rechteckrohre-stahl-s235jr-kaltgewalzt-s1-rohschwarz/p/M100647;5.8;
4;Rahmen quer;Vierkantrohr;2;30;60;4;810;https://shop.d-a.ch/de/rechteckrohre-stahl-s235jr-kaltgewalzt-s1-rohschwarz/p/M100647;5.8;
5;Auszug längs;Vierkantrohr;4;20;50;3;950;https://shop.d-a.ch/de/rechteckrohre-stahl-s235jr-kaltgewalzt-s1-rohschwarz/p/M100647;3;
6;Auszug quer;Vierkantrohr;2;30;60;4;870;https://shop.d-a.ch/de/rechteckrohre-stahl-s235jr-kaltgewalzt-s1-rohschwarz/p/M1006475.8;;
7;Aufnahme Beine;Vierkantrohr;2;30;60;4;80;https://shop.d-a.ch/de/rechteckrohre-stahl-s235jr-kaltgewalzt-s1-rohschwarz/p/M100647;5.8;
8;Auszug Beine - innen;Vierkantrohr;4;20;50;3;600;https://shop.d-a.ch/de/rechteckrohre-stahl-s235jr-kaltgewalzt-s1-rohschwarz/p/M100647M100647;3;
9;Auszug Beine - aussen;Vierkantrohr;4;30;60;4;600;https://shop.d-a.ch/de/rechteckrohre-stahl-s235jr-kaltgewalzt-s1-rohschwarz/p/M100647;5.8;
10;Querverstrebung Beine;Vierkantrohr;2;30;60;4;810;https://shop.d-a.ch/de/rechteckrohre-stahl-s235jr-kaltgewalzt-s1-rohschwarz/p/M100647;5.8;
11;Aufnahme Füsse;Flachstahl;4;80;;4;80;https://shop.d-a.ch/de/flachstahl-stahl-s235jr-warmgewalzt/p/M100378;2.5;
12;Wand Montage Basis;Flachstahl;1;80;;4;909;https://shop.d-a.ch/de/flachstahl-stahl-s235jr-warmgewalzt/p/M100378;2.5;
13;Wand Montage unten;Vierkantrohr;1;70;40;4;500;https://shop.d-a.ch/de/rechteckrohre-stahl-s235jr-kaltgewalzt-s1-rohschwarz/p/M100647;6.4;
14;Wand Montage oben;Vierkantrohr;1;30;60;4;80;https://shop.d-a.ch/de/rechteckrohre-stahl-s235jr-kaltgewalzt-s1-rohschwarz/p/M100647;5.8;
